2097 5328,29599
4739 7806,65964
4653 4934,129112
434 822,695899
1522 1712 770,225174
1891 393 41253,168006
1524 39 40,2452124
1147 4404 4845,90020
3158 781,90396
12095 17808 354 42,2045603
2957 762 9266,186436
13927 1827 5429 74,1440518
1773 2997 5301 9416,119716
197 5614 69,1537681
19188 2074 7898 79,1945578
432 4503 64 9236,1650792
1168 1537 435 878,676425
1800 8989,55220
246 2807 405 42,1998942
2730 434,490728
304 759 878,530399
3539 41 851,1694193
1712 6189 6524 701,367046
1214 808 823 9506,399072
180 2507 5507 60,1678138
773 8257,196076
425 703,239521
1240 2250 2327 379,320067
2946 3540 843,285206
1237 2047 784,190552
1095 323,429894
1033 333 3539 838,355144
1608 4653 8849,60733
2352 2798 3278 41,1690133
428 8183,243155
2565 323,390860
183 22950 9438,248168
146 187 1897,581446
1757 180 3664,305126
10748 1464 79,1908111
2653 312 8632,275474
104 795,716763
1526 209 5877,487614
1154 3868 631,156322
2134 5803 8630,63635
1460 2047 2168 63,1581640
12174 2063,31439
1214 3318,130970
1546 250 299,618474
2023 434,513776
2269 434 748,563337
1314 13302 795,236581
1320 2098 2335 3874,143986
1320 2098 2685 49,1896394
20897 80,1448980
205 326,610668
104 8202 8535,553088
11920 1263 392 7494,307097
326 878,601893
423 5581,284062
20701 8501,36693
1773 1897 354,494025
1245 1700 41 701,1805509
3359 928,131254
151 1961,527374
574 8630,127360
132 2710,422243
3031 5719,48210
1945 311 314 9062,617054
365 63 8257 872,1657859
434 527,590685
138 3027 4907 79,2072621
2007 260 2764 907,257247
13032 223 8645,257733
177 7870,367245
150 2201 4404,328499
2163 9287 959,167228
150 184 2372 7949,849105
2047 8379,74372
179 28 63,2696760
1181 274,191944
106 1571 326 5763,933549
438 5,5109800
1048 41,1677018
130 1953 5 584,5115835
393 5016,145053
1511 666 831,278365
3469 354,388194
3276 42 435 734,2064838
1177 2683,155709
376 808,416753
619 8412,103669
323 4324,375818
3534 605,141402
2705 299 315,538990
1296 379,259991
194 2168 299,593032
106 2710 376 8632,893989
2683 347,259832
207 3114 38 4181,2058769
2946 48,1580450
180 206 2075,451397
1336 1903 2002 2004,172988
4808 6093 63 8487,1535177
1441 1537 5594 58,1459701
4404 795,247005
12322 2086 41,1625775
1442 2098 434 435,711508
1336 2252 2253 4288,113377
3281 4907 63,1544414
2201 2810 3892 6382,87708
2764 391 797,350297
178 315 63 79,2901699
1021 1757 2423,100557
1337 1807 384,292302
3141 5914 759,266565
354 6024,384778
2150 2711,42223
7589 9000,22465
1403 4902,27139
1337 2360,182728
1522 425 69,1487961
1367 3109 3412,142531
1903 464 5357,186841
105 2250,296180
757 822,473978
586 873,192017
102 1311 13465,306875
12960 1849 38258,362264
11651 701 79,2033484
13292 1942 527,177305
551 8443,115196
322 7450,146982
130 1301 1967,402866
135 5411,346365
25 878,2066765
1016 323,381855
11651 1214 1441,173594
1849 28,1941084
2796 508,230001
235 2769 3412 6681,391418
434 5095 63,1800040
3701 7625,66299
215 429,392941
143 959,266739
1127 551,127843
14772 1923 426 63,1637776
1214 1511 1740 435,489381
1710 434,507006
11003 1386 2540 3309,93413
1336 79 941,1982004
382 5313,303739
10070 1163 1282 63,1551357
1523 2360 434 598,685422
1422 245 3020,212485
322 5506 579 8487,287614
104 1216 1712,623584
2130 322 546,255176
3141 4211 5877,137371
181 418 42 8054,2001435
1733 223 83,1465940
3710 38258,73947
10177 1168 2161 772,254372
