683619 69682 95573,6
398701 58941,6
123966 18369,8
40991 6987,5
28937 86497,10
289941 35446,13
251528 45479,18
17527 83010,6
113692 372486 426191,37
155225 47701,13
521771 581517,85
42264 44076,11
188313 531586,13
509030 89001,5
16728 16729,18
72828 89562,10
101406 239446,5
790488 793119,239
159508 97189,7
60227 616683,16
128775 577806,24
18512 258631,23
133474 133475 71460,5
119790 27945,32
90439 90441,28
172773 223407,9
123937 264629,52
156583 98307,6
119227 148547 195395 98696,7
117417 425444,7
121621 121623,43
119662 159049 159050,7
193236 56316,29
21748 23738,7
109372 326555,6
153154 484192,13
296096 96206,9
14356 343658,9
160217 85916,5
141288 195466,5
126873 126874 126875,20
130989 53318,7
227327 62889,13
34981 48734,8
217256 244018,10
291711 48883,6
29818 69491,7
46903 46905,14
405428 574968,13
152971 93655,13
60312 60313,89
20229 33428,5
209179 54543,36
203172 8987,14
48068 57102,116
225768 225769,213
115485 140841,23
136586 18766,7
118852 193238 197857,10
377230 832132,28
24489 79806,7
427103 427104,38
20722 6697,19
350562 400333,5
213186 214155,11
113692 426191,38
23757 58513,7
36967 8482,7
29422 59255,194
404706 723366,36
20986 43729,19
26384 390625,8
570039 8949,7
128673 22057,5
106597 291798 79058,28
102021 77420,25
25634 25635,11
423154 55461 70773,46
330236 363081,5
122946 49874,11
105925 25512,5
644084 726392 779249,24
144329 145444,26
259642 259643,7
58999 850416,5
4421 4423,5
140013 405160,6
3930 5955,5
20968 4416,34
229614 452469,6
163838 239088 89940,8
17537 46146,5
377222 643804,62
10037 151014,6
30162 42246 77420,8
784541 784542,19
33705 5566,102
112800 112802 40073,6
4449 9026,6
177103 183142,8
536136 536137,44
28602 38863,8
102790 56761,9
212783 496481,5
28068 98008,5
164493 5433,11
298221 667826,284
508100 567553,94
108191 108192,6
107510 288137,8
73144 77283,16
51889 6419,6
137428 137429,99
25059 7466,7
188644 22266,31
67228 72200,89
12301 12302,43
201126 57514,5
124541 18680,49
180404 225884 276506,20
271693 271694,5
240836 240840,86
12301 8828,15
165524 746486,11
33735 47257,6
206935 206937,27
114361 243545 85305,22
106919 108697 131768,11
145298 262833,47
56471 604856,6
2563 30,6
403019 823113,21
174315 522719,10
168763 168764,15
161026 233362,373
20127 35136,67
777642 798235,22
449097 50095,25
111667 111670,15
102999 163008 169548 35585,8
17875 19769,6
160968 358820,11
23299 23300,123
128961 131826,15
11341 13514,51
172809 51807,5
15618 90904,9
491752 580774,11
314766 52486,5
362859 433734,7
25933 47834,14
57510 57512,9
282100 50009,5
137349 330319 51642,9
134873 322009,16
124322 198714,9
147736 271424 499856,24
12630 15249,9
46492 96498,10
40646 40647,241
83286 851065,6
129586 247998 24803,12
103448 185803,11
14444 2418,15
25091 95258,52
195384 3947,8
453471 453473,118
143976 82692,10
451344 723746,40
28968 327,6
178000 217490,89
105150 242111,18
11159 12826,18
171324 29664,8
74091 74095,10
21966 600516,5
233525 26008 28279,6
364118 60670,10
344564 344565,47
197350 197366 31209,17
15628 65154,14
384213 547453 786574,5
34194 360343,51
35802 55823,17
152753 21284,6
105148 105150 172642 172643,24
126380 254459,11
104966 138650 85822,18
22311 22312,17
175207 195056,17
155720 296627 424263,7
107258 27759,6
268765 432651 52495,9
324553 63884,13
378027 785387,59
270408 344276,5
1389 261951,7
31144 31145,25
63462 65195 66009,14
226599 304197,9
120053 558313,15
108198 240821,6
22710 33008,8
18414 20357,9
146759 34900,141
114052 97631,6
783813 87869,38
106283 218457,12
326167 44146,57
151335 48431,9
56525 57374,7
102905 36799,19
248389 7801,9
392810 48458,6
67356 89452,19
108245 108247,34
29029 6318 92041,6
126804 186483,10
118534 140813,5
229537 85971,6
143689 85574,7
34495 60945,17
16641 44036 45197,201
240717 328001,27
103777 40087,12
168895 47042,18
2131 49966,9
34890 45604,5
29363 29366,6
660095 660096,26
24102 32629,7
56619 56620,47
20554 55788,5
417326 64276,36
151887 379581,82
172303 71216,11
13906 59483,5
27252 58608,10
580601 600363,11
66746 68861,29
143732 41475 729880,16
179587 8969,6
14639 1787,5
135509 74260,132
309344 32295 45966,5
12329 801430,38
185420 99989,6
106331 247083,25
1129 194286,46
72104 72106,5
449508 725160,35
248607 25658,23
26326 37343,7
85207 85766,167
217836 74666,31
176564 38660 49769 83913,6
15376 18693,82
21679 90891,33
23284 81754,12
171542 8863,5
20410 43134,180
102790 198650,220
124516 28622,8
17779 20663,5
53740 571741,115
26471 525165,462
132389 35997,10
122893 137748,5
34459 64407 684212,89
18377 45211,6
178122 8011,16
118367 15376,19
43726 45876,54
190396 190397,5
64188 68439 86241,6
426355 56436,18
155561 447538,51
2065 2066,9
19527 49974,6
24669 53626,32
145112 35610,11
17648 240641 240642,5
184084 184211,130
398123 94079,11
229537 229538,11
123789 63220,55
12611 1873,9
119872 32229 70195,7
33266 53405,42
109151 8664,15
278334 500449,14
36329 39368 91279,16
128772 55910 85100,7
120082 7752,8
27186 27187,97
259229 645358,5
20925 64894,42
179974 87108,13
303858 89323,5
707546 90492,24

